c:\users\admin\documents\github\phpproject\ospanel\modules\database\MariaDB-10.3-x64\bin\mysqld.exe, Version: 10.3.13-MariaDB-log (mariadb.org binary distribution). started with:
TCP Port: 3306, Named Pipe: (null)
Time		    Id Command	Argument
190629 12:40:59	    70 Connect	root@localhost as anonymous on 
		    70 Query	SELECT @@version, @@version_comment
		    70 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
		    70 Query	SET lc_messages = 'ru_RU'
		    71 Connect	root@localhost as anonymous on 
		    71 Query	SHOW TABLES FROM `mystackoverflow`
		    70 Query	SELECT `SCHEMA_NAME` FROM `INFORMATION_SCHEMA`.`SCHEMATA`
		    70 Query	SET collation_connection = 'utf8mb4_unicode_ci'
		    70 Query	SHOW SESSION VARIABLES LIKE 'FOREIGN_KEY_CHECKS'
		    70 Query	SELECT DATABASE()
		    70 Init DB	mystackoverflow
		    70 Query	SELECT * FROM `questions` LIMIT 0, 50
		    70 Query	SELECT TABLE_NAME
            FROM information_schema.VIEWS
            WHERE TABLE_SCHEMA = 'mystackoverflow'
                AND TABLE_NAME = 'questions'
		    70 Query	SELECT @@lower_case_table_names
		    70 Query	SELECT *,
                `TABLE_SCHEMA`       AS `Db`,
                `TABLE_NAME`         AS `Name`,
                `TABLE_TYPE`         AS `TABLE_TYPE`,
                `ENGINE`             AS `Engine`,
                `ENGINE`             AS `Type`,
                `VERSION`            AS `Version`,
                `ROW_FORMAT`         AS `Row_format`,
                `TABLE_ROWS`         AS `Rows`,
                `AVG_ROW_LENGTH`     AS `Avg_row_length`,
                `DATA_LENGTH`        AS `Data_length`,
                `MAX_DATA_LENGTH`    AS `Max_data_length`,
                `INDEX_LENGTH`       AS `Index_length`,
                `DATA_FREE`          AS `Data_free`,
                `AUTO_INCREMENT`     AS `Auto_increment`,
                `CREATE_TIME`        AS `Create_time`,
                `UPDATE_TIME`        AS `Update_time`,
                `CHECK_TIME`         AS `Check_time`,
                `TABLE_COLLATION`    AS `Collation`,
                `CHECKSUM`           AS `Checksum`,
                `CREATE_OPTIONS`     AS `Create_options`,
                `TABLE_COMMENT`      AS `Comment`
            FROM `information_schema`.`TABLES` t
            WHERE `TABLE_SCHEMA` 
                IN ('mystackoverflow')
                AND t.`TABLE_NAME`  = 'questions' ORDER BY Name ASC
		    70 Query	SELECT COUNT(*) FROM `mystackoverflow`.`questions`
		    70 Query	SHOW WARNINGS
		    70 Query	SELECT TABLE_NAME
            FROM information_schema.VIEWS
            WHERE TABLE_SCHEMA = 'mystackoverflow'
                AND TABLE_NAME = 'questions'
                AND IS_UPDATABLE = 'YES'
		    70 Query	SHOW INDEXES FROM `mystackoverflow`.`questions`
		    70 Query	SHOW CREATE TABLE `mystackoverflow`.`questions`
		    70 Query	SELECT *,
                        `COLUMN_NAME`       AS `Field`,
                        `COLUMN_TYPE`       AS `Type`,
                        `COLLATION_NAME`    AS `Collation`,
                        `IS_NULLABLE`       AS `Null`,
                        `COLUMN_KEY`        AS `Key`,
                        `COLUMN_DEFAULT`    AS `Default`,
                        `EXTRA`             AS `Extra`,
                        `PRIVILEGES`        AS `Privileges`,
                        `COLUMN_COMMENT`    AS `Comment`
                   FROM `information_schema`.`COLUMNS`
 WHERE `TABLE_SCHEMA` = 'mystackoverflow'  AND `TABLE_NAME` = 'users'
		    70 Query	SELECT *,
                        `COLUMN_NAME`       AS `Field`,
                        `COLUMN_TYPE`       AS `Type`,
                        `COLLATION_NAME`    AS `Collation`,
                        `IS_NULLABLE`       AS `Null`,
                        `COLUMN_KEY`        AS `Key`,
                        `COLUMN_DEFAULT`    AS `Default`,
                        `EXTRA`             AS `Extra`,
                        `PRIVILEGES`        AS `Privileges`,
                        `COLUMN_COMMENT`    AS `Comment`
                   FROM `information_schema`.`COLUMNS`
 WHERE `TABLE_SCHEMA` = 'mystackoverflow'  AND `TABLE_NAME` = 'users'
		    70 Query	SHOW FULL COLUMNS FROM `mystackoverflow`.`questions`
		    70 Query	SELECT `login` FROM `mystackoverflow`.`users` WHERE `id` = 2
		    70 Query	SELECT `login` FROM `mystackoverflow`.`users` WHERE `id` = 1
		    70 Query	SELECT `login` FROM `mystackoverflow`.`users` WHERE `id` = 1
		    70 Query	SHOW SESSION VARIABLES LIKE 'FOREIGN_KEY_CHECKS'
		    70 Query	SHOW  COLUMNS FROM `mystackoverflow`.`questions`
		    70 Query	SELECT `PRIVILEGE_TYPE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES` WHERE GRANTEE='''root''@''%''' AND PRIVILEGE_TYPE='TRIGGER'
		    70 Query	SELECT `PRIVILEGE_TYPE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES` WHERE GRANTEE='''root''@''%''' AND PRIVILEGE_TYPE='TRIGGER'
		    71 Quit	
		    70 Quit	
		    72 Connect	root@localhost as anonymous on 
		    72 Query	SELECT @@version, @@version_comment
		    72 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
		    72 Query	SET lc_messages = 'ru_RU'
		    73 Connect	root@localhost as anonymous on 
		    72 Query	SELECT `SCHEMA_NAME` FROM `INFORMATION_SCHEMA`.`SCHEMATA`
		    72 Query	SET collation_connection = 'utf8mb4_unicode_ci'
		    73 Quit	
		    72 Quit	
190629 12:41:20	    74 Connect	root@WIN-R5EIFKQSONE as anonymous on mystackoverflow
		    74 Query	SET NAMES utf8mb4
		    74 Query	SELECT `questions`.*  FROM `questions` ORDER BY `id` DESC -- keep-cache
		    74 Query	SELECT `users`.*  FROM `users`  WHERE ( `id` IN ( '' ) )   -- keep-cache
		    74 Query	SELECT `users`.*  FROM `users`  WHERE ( `id` IN ( '1' ) )   -- keep-cache
		    74 Query	SELECT `users`.*  FROM `users`  WHERE ( `id` IN ( '2' ) )   -- keep-cache
		    74 Quit	
190629 12:41:22	    75 Connect	root@WIN-R5EIFKQSONE as anonymous on mystackoverflow
		    75 Query	SET NAMES utf8mb4
		    75 Query	SELECT `users`.*  FROM `users`  WHERE `id` = '1' LIMIT 1   -- keep-cache
		    75 Quit	
190629 12:41:23	    76 Connect	root@WIN-R5EIFKQSONE as anonymous on mystackoverflow
		    76 Query	SET NAMES utf8mb4
		    76 Query	SELECT `questions`.*  FROM `questions` ORDER BY `id` DESC -- keep-cache
		    76 Query	SELECT `users`.*  FROM `users`  WHERE ( `id` IN ( '' ) )   -- keep-cache
		    76 Query	SELECT `users`.*  FROM `users`  WHERE ( `id` IN ( '1' ) )   -- keep-cache
		    76 Query	SELECT `users`.*  FROM `users`  WHERE ( `id` IN ( '2' ) )   -- keep-cache
		    76 Quit	
190629 12:42:39	    77 Connect	root@WIN-R5EIFKQSONE as anonymous on mystackoverflow
		    77 Query	SET NAMES utf8mb4
		    77 Query	SELECT `questions`.*  FROM `questions` ORDER BY `id` DESC -- keep-cache
		    77 Query	SELECT `users`.*  FROM `users`  WHERE ( `id` IN ( '' ) )   -- keep-cache
		    77 Query	SELECT `users`.*  FROM `users`  WHERE ( `id` IN ( '1' ) )   -- keep-cache
		    77 Query	SELECT `users`.*  FROM `users`  WHERE ( `id` IN ( '2' ) )   -- keep-cache
		    77 Quit	
190629 12:42:57	    78 Connect	root@WIN-R5EIFKQSONE as anonymous on mystackoverflow
		    78 Query	SET NAMES utf8mb4
		    78 Query	SELECT `questions`.*  FROM `questions` ORDER BY `id` DESC -- keep-cache
		    78 Query	SELECT `users`.*  FROM `users`  WHERE ( `id` IN ( '' ) )   -- keep-cache
		    78 Query	SELECT `users`.*  FROM `users`  WHERE ( `id` IN ( '1' ) )   -- keep-cache
		    78 Query	SELECT `users`.*  FROM `users`  WHERE ( `id` IN ( '2' ) )   -- keep-cache
		    78 Quit	
190629 12:43:14	    79 Connect	root@WIN-R5EIFKQSONE as anonymous on mystackoverflow
		    79 Query	SET NAMES utf8mb4
		    79 Query	SELECT `questions`.*  FROM `questions` ORDER BY `id` DESC -- keep-cache
		    79 Query	SELECT `users`.*  FROM `users`  WHERE ( `id` IN ( '' ) )   -- keep-cache
		    79 Query	SELECT `users`.*  FROM `users`  WHERE ( `id` IN ( '1' ) )   -- keep-cache
		    79 Query	SELECT `users`.*  FROM `users`  WHERE ( `id` IN ( '2' ) )   -- keep-cache
		    79 Quit	
190629 12:43:16	    80 Connect	root@WIN-R5EIFKQSONE as anonymous on mystackoverflow
		    80 Query	SET NAMES utf8mb4
		    80 Query	SELECT `questions`.*  FROM `questions` ORDER BY `id` DESC -- keep-cache
		    80 Query	SELECT `users`.*  FROM `users`  WHERE ( `id` IN ( '' ) )   -- keep-cache
		    80 Query	SELECT `users`.*  FROM `users`  WHERE ( `id` IN ( '1' ) )   -- keep-cache
		    80 Query	SELECT `users`.*  FROM `users`  WHERE ( `id` IN ( '2' ) )   -- keep-cache
		    80 Quit	
190629 12:43:20	    81 Connect	root@WIN-R5EIFKQSONE as anonymous on mystackoverflow
		    81 Query	SET NAMES utf8mb4
		    81 Query	SELECT `users`.*  FROM `users`  WHERE email = 'mistermihail23@gmail.com' LIMIT 1   -- keep-cache
		    81 Quit	
		    82 Connect	root@WIN-R5EIFKQSONE as anonymous on mystackoverflow
		    82 Query	SET NAMES utf8mb4
		    82 Query	SELECT `questions`.*  FROM `questions` ORDER BY `id` DESC -- keep-cache
		    82 Query	SELECT `users`.*  FROM `users`  WHERE ( `id` IN ( '' ) )   -- keep-cache
		    82 Query	SELECT `users`.*  FROM `users`  WHERE ( `id` IN ( '1' ) )   -- keep-cache
		    82 Query	SELECT `users`.*  FROM `users`  WHERE ( `id` IN ( '2' ) )   -- keep-cache
		    82 Quit	
190629 12:43:22	    83 Connect	root@WIN-R5EIFKQSONE as anonymous on mystackoverflow
		    83 Query	SET NAMES utf8mb4
		    83 Query	SELECT `users`.*  FROM `users`  WHERE `id` = '1' LIMIT 1   -- keep-cache
		    83 Quit	
190629 12:43:23	    84 Connect	root@WIN-R5EIFKQSONE as anonymous on mystackoverflow
		    84 Query	SET NAMES utf8mb4
		    84 Query	SELECT `users`.*  FROM `users`  WHERE `id` = '1' LIMIT 1   -- keep-cache
		    84 Quit	
		    85 Connect	root@WIN-R5EIFKQSONE as anonymous on mystackoverflow
		    85 Query	SET NAMES utf8mb4
		    85 Query	SELECT `users`.*  FROM `users`  WHERE `id` = '1' LIMIT 1   -- keep-cache
		    85 Quit	
190629 12:43:31	    86 Connect	root@WIN-R5EIFKQSONE as anonymous on mystackoverflow
		    86 Query	SET NAMES utf8mb4
		    86 Query	SELECT `users`.*  FROM `users`  WHERE `id` = '1' LIMIT 1   -- keep-cache
		    86 Quit	
